表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音,符号クラス
あ,*,*,*,*,*,*,*,*,ア,CharA
か,*,*,*,*,*,*,*,*,カ,CharKa
が,*,*,*,*,*,*,*,*,ガ,CharKa
さ,*,*,*,*,*,*,*,*,サ,CharSa
ザ,*,*,*,*,*,*,*,*,ザ,CharSa
た,*,*,*,*,*,*,*,*,タ,CharTa
だ,*,*,*,*,*,*,*,*,ダ,CharTa
な,*,*,*,*,*,*,*,*,ナ,CharNa
は,*,*,*,*,*,*,*,*,ハ,CharHa
ば,*,*,*,*,*,*,*,*,バ,CharHa
ぱ,*,*,*,*,*,*,*,*,パ,CharHa
ま,*,*,*,*,*,*,*,*,マ,CharMa
や,*,*,*,*,*,*,*,*,ヤ,CharYa
ら,*,*,*,*,*,*,*,*,ラ,CharRa
わ,*,*,*,*,*,*,*,*,ワ,CharWa
やま,*,*,*,*,*,*,*,*,ヤマ,CharYama
また,*,*,*,*,*,*,*,*,マタ,CharMa|CharTa
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,CharKa
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,CharWa
、,記号,読点,*,*,*,*,、,、,、,CharSpace
。,記号,句点,*,*,*,*,。,。,。,CharSpace
