クラス名,符号名アルファベット表記,符号名,モデル表記,字頭区分,字尾区分
CharA,a,あ,NE10,NE,NE
CharKa,ka,か,NEL10,NEL,NEL
CharSa,sa,さ,NEL5,NEL,NEL
CharTa,ta,た,NE5,NE,NE
CharNa,na,な,NER10,NER,NER
CharO,o,お,E10,E,E
CharKo,ko,こ,EL10,EL,EL
CharSo,so,そ,EL5,EL,EL
CharTo,to,と,E5,E,E
CharNo,no,の,ER10,ER,ER
CharU,u,う,SE10,SE,SE
CharKu,ku,く,SEL10,SEL,SEL
CharSu,su,す,SEL5,SEL,SEL
CharTsu,tsu,つ,SE5,SE,SE
CharNu,nu,ぬ,SER10,SER,SER
CharE,e,え,S10,S,S
CharKe,ke,け,SL10,SL,SL
CharSe,se,せ,SL5,SL,SL
CharTe,te,て,S5,S,S
CharNe,ne,ね,SR10,SR,SR
CharI,i,い,SW10,SW,SW
CharKi,ki,き,SWL10,SWL,SWL
CharShi,shi,し,SWL5,SWL,SWL
CharChi,chi,ち,SW5,SW,SW
CharNi,ni,に,SWR10,SWR,SWR
CharHa,ha,は,NEL20,NEL,NEL
CharHi,hi,ひ,SWL20,SWL,SWL
CharHu,hu,ふ,SEL20,SEL,SEL
CharHe,he,へ,UWL5,SWL,SEL
CharHo,ho,ほ,EL20,EL,EL
CharYa,ya,や,NE20,NE,NE
CharYu,yu,ゆ,SE20,SE,SE
CharYo,yo,よ,E20,E,E
CharMa,ma,ま,NER20,NER,NER
CharMi,mi,み,SWR20,SWR,SWR
CharMu,mu,む,SER20,SER,SER
CharMe,me,め,USR5,SER,SWR
CharMo,mo,も,ER20,ER,ER
CharWa,wa,わ,USL5,SEL,NEL
CharRa,ra,ら,NER5,NER,NER
CharRi,ri,り,SWR5,SWR,SWR
CharRu,ru,る,SER5,SER,SER
CharRe,re,れ,SR5,SR,SR
CharRo,ro,ろ,ER5,ER,ER
CharNa,na,な,NER10,NER,NER
CharNi,ni,に,SWR10,SWR,SWR
CharNu,nu,ぬ,SER10,SER,SER
CharNe,ne,ね,SR10,SR,SR
CharNo,no,の,ER10,ER,ER
CharAn,an,あん,NE10CL1,NE,NECL1
CharKan,kan,かん,NEL10CL1,NEL,NELCL1
CharSan,san,さん,NEL5CL1,NEL,NELCL1
CharTan,tan,たん,NE5CL1,NE,NECL1
CharNan,nan,なん,NER10CR1,NER,NERCR1
CharOn,on,おん,E10CL1,E,ECL1
CharKon,kon,こん,EL10CL1,EL,ECL1
CharSon,son,そん,EL5CL1,EL,ELCL1
CharTon,ton,とん,E5CL1,E,ECL1
CharNon,non,のん,ER10CR1,ER,ERCR1
CharUn,un,うん,SE10CL1,SE,SECL1
CharKun,kun,くん,SEL10CL1,SEL,SELCL1
CharSun,sun,すん,SEL5CL1,SEL,SELCL1
CharTsun,tsun,つん,SE5CL1,SE,SECL1
CharNun,nun,ぬん,SER10CR1,SER,SERCR1
CharEn,en,えん,S10CR1,S,SCR1
CharKen,ken,けん,SL10CL1,SL,SLCL1
CharSen,sen,せん,SL5CL1,SL,SLCL1
CharTen,ten,てん,S5CR1,S,SCR1
CharNen,nen,ねん,SR10CR1,SR,SRCR1
CharIn,in,いん,SW10CR1,SW,SWCR1
CharKin,kin,きん,SWL10CL1,SWL,SWLCL1
CharShin,shin,しん,SWL5CL1,SWL,SWLCL1
CharChin,chin,ちん,SW5CR1,SW,SWCR1
CharNin,nin,にん,SWR10CR1,SWR,SWRCR1
CharHan,han,はん,NEL20CL1,NEL,NELCL1
CharHin,hin,ひん,SWL20CL1,SWL,SWLCL1
CharHun,hun,ふん,SEL20CL1,SEL,SELCL1
CharHen,hen,へん,UWL5CL1,UWL,UWLCL1
CharHon,hon,ほん,EL20CL1,EL,ELCL1
CharYan,yan,やん,NE20CL1,NE,NECL1
CharYun,yun,ゆん,SE20CL1,SE,SECL1
CharYon,yon,よん,E20CL1,E,ECL1
CharMan,man,まん,NER20CR1,NER,NERCR1
CharMin,min,みん,SWR20CR1,SWR,SWRCR1
CharMun,mun,むん,SER20CR1,SER,SERCR1
CharMen,men,めん,UER5CR1,SER,SWRCR1
CharMon,mon,もん,ER20CR1,ER,ERCR1
CharWan,wan,わん,USL5CL1,USL,USLCL1
CharRan,ran,らん,NER5CR1,NER,NERCR1
CharRin,rin,りん,SWR5CR1,SWR,SWRCR1
CharRun,run,るん,SER5CR1,SER,SERCR1
CharRen,ren,れん,SR5CR1,SR,SRCR1
