表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音,符号クラス
あ,*,*,*,*,*,*,あ,ア,ア,CharA
い,*,*,*,*,*,*,い,イ,イ,CharI
う,*,*,*,*,*,*,う,ウ,ウ,CharU
え,*,*,*,*,*,*,え,エ,エ,CharE
お,*,*,*,*,*,*,お,オ,オ,CharO

あん,*,*,*,*,*,*,あん,アン,アン,CharAn
いん,*,*,*,*,*,*,いん,イン,イン,CharIn
うん,*,*,*,*,*,*,うん,ウン,ウン,CharUn
えん,*,*,*,*,*,*,えん,エン,エン,CharEn
おん,*,*,*,*,*,*,おん,オン,オン,CharOn

あー,*,*,*,*,*,*,ああ,アー,アー,CharAa
いー,*,*,*,*,*,*,いい,イー,イー,CharIi
うー,*,*,*,*,*,*,うう,ウー,ウー,CharUu
えー,*,*,*,*,*,*,ええ,エー,エー,CharEe
えい,*,*,*,*,*,*,えいえい,エイ,エイ,CharEe
おー,*,*,*,*,*,*,おお,オー,オー,CharOo

あつ,*,*,*,*,*,*,あつ,アツ,アツ,CharAtsu
あず,*,*,*,*,*,*,あず,アズ,アズ,CharAtsu

あく,*,*,*,*,*,*,あく,アク,アク,CharAku
いく,*,*,*,*,*,*,いく,イク,イク,CharIku
うく,*,*,*,*,*,*,うく,ウク,ウク,CharUku
えく,*,*,*,*,*,*,えく,エク,エク,CharEku
おく,*,*,*,*,*,*,おく,オク,オク,CharOku

か,*,*,*,*,*,*,か,カ,カ,CharKa
き,*,*,*,*,*,*,き,キ,キ,CharKi
く,*,*,*,*,*,*,く,ク,ク,CharKu
け,*,*,*,*,*,*,け,ケ,ケ,CharKe
こ,*,*,*,*,*,*,こ,コ,コ,CharKo

限り,名詞,非自立,副詞可能,*,*,*,限り,カギリ,カギリ,CharKakiri
かー,*,*,*,*,*,*,かー,カー,カー,CharKa
きー,*,*,*,*,*,*,きー,キー,キー,CharKi
くー,*,*,*,*,*,*,くー,クー,クー,CharKu
けー,*,*,*,*,*,*,けー,ケー,ケー,CharKe
こー,*,*,*,*,*,*,こー,コー,コー,CharKoh

かる,*,*,*,*,*,*,かる,カル,カル,CharKaru
かく,*,*,*,*,*,*,かく,カク,カク,CharKaku


ちゃ,*,*,*,*,*,*,ちゃ,チャ,チャ,CharCha
ちゅ,*,*,*,*,*,*,ちゅ,チュ,チュ,CharChu
ちょ,*,*,*,*,*,*,ちょ,チョ,チョ,CharCho
ちゃー,*,*,*,*,*,*,ちゃー,チャー,チャー,CharCha
ちゅー,*,*,*,*,*,*,ちゅー,チュー,チュー,CharChu
ちょー,*,*,*,*,*,*,ちょー,チョー,チョー,PosChou

きゃ,*,*,*,*,*,*,きゃ,キャ,キャ,CharKya
きゅ,*,*,*,*,*,*,きゅ,キュ,キュ,CharKyu
きょ,*,*,*,*,*,*,きょ,キョ,キョ,CharKyo

きゃー,*,*,*,*,*,*,きゃー,キャー,キャー,CharKya
きゅー,*,*,*,*,*,*,きゅー,キュー,キュー,CharKyu
